,Year,Western champion,Coach,Result,Eastern champion,Coach,Finals MVP[a],Ref
0,1947,"Chicago Stags (1) (1, 0–1)",Harold Olsen,1–4,"Philadelphia Warriors (2) (1, 1–0)",Eddie Gottlieb,n/a,[6]
1,1948,"Baltimore Bullets† (2) (1, 1–0)",Buddy Jeannette,4–2,"Philadelphia Warriors (1) (2, 1–1)",[7],,
2,1949,"Minneapolis Lakers (2) (1, 1–0)",John Kundla,4–2,"Washington Capitols (1) (1, 0–1)",Red Auerbach,[8],
3,1950,"Minneapolis Lakers (1) [b] (2, 2–0)",4–2,"Syracuse Nationals (1) (1, 0–1)",Al Cervi,[12][13],,
4,1951,"Rochester Royals (2) (1, 1–0)",Les Harrison,4–3,"New York Knicks (3) (1, 0–1)",Joe Lapchick,[14],
5,1952,"Minneapolis Lakers (2) (3, 3–0)",John Kundla,4–3,"New York Knicks (3) (2, 0–2)",[15],,
6,1953,"Minneapolis Lakers (1) (4, 4–0)",4–1,"New York Knicks (1) (3, 0–3)",[16],,,
7,1954,"Minneapolis Lakers (1) (5, 5–0)",4–3,"Syracuse Nationals (1) (2, 0–2)",Al Cervi,[17],,
8,1955,"Fort Wayne Pistons (1) (1, 0–1)",Charles Eckman,3–4,"Syracuse Nationals (1) (3, 1–2)",[18],,
9,1956,"Fort Wayne Pistons (1) (2, 0–2)",1–4,"Philadelphia Warriors (1) (3, 2–1)",George Senesky,[19],,
10,1957,"St. Louis Hawks (1) (1, 0–1)",Alex Hannum,3–4,"Boston Celtics (1) (1, 1–0)",Red Auerbach,[20],
11,1958,"St. Louis Hawks (1) (2, 1–1)",4–2,"Boston Celtics (1) (2, 1–1)",[21],,,
12,1959,"Minneapolis Lakers (2) (6, 5–1)",John Kundla,0–4,"Boston Celtics (1) (3, 2–1)",[22],,
13,1960,"St. Louis Hawks (1) (3, 1–2)",Ed Macauley,3–4,"Boston Celtics (1) (4, 3–1)",[23],,
14,1961,"St. Louis Hawks (1) (4, 1–3)",Paul Seymour,1–4,"Boston Celtics (1) (5, 4–1)",[24],,
15,1962,"Los Angeles Lakers (1) (7, 5–2)",Fred Schaus,3–4,"Boston Celtics (1) (6, 5–1)",[25],,
16,1963,"Los Angeles Lakers (1) (8, 5–3)",2–4,"Boston Celtics (1) (7, 6–1)",[26],,,
17,1964[c],"San Francisco Warriors (1) (4, 2–2)",Alex Hannum,1–4,"Boston Celtics (1) (8, 7–1)",[27],,
18,1965,"Los Angeles Lakers (1) (9, 5–4)",Fred Schaus,1–4,"Boston Celtics (1) (9, 8–1)",[28],,
19,1966,"Los Angeles Lakers (1) (10, 5–5)",3–4,"Boston Celtics (2) (10, 9–1)",[29],,,
20,1967,"San Francisco Warriors (1) (5, 2–3)",Bill Sharman,2–4,"Philadelphia 76ers (1) (4, 2–2)",Alex Hannum,[30],
21,1968,"Los Angeles Lakers (2) (11, 5–6)",Butch van Breda Kolff,2–4,"Boston Celtics (2) (11, 10–1)",Bill Russell,[31],
22,1969,"Los Angeles Lakers (1) (12, 5–7)",3–4,"Boston Celtics (4) (12, 11–1)",Jerry West,[32],,
23,1970,"Los Angeles Lakers (2) (13, 5–8)",Joe Mullaney,3–4,"New York Knicks (1) (4, 1–3)",Red Holzman,Willis Reed,[33]
24,1971,"Milwaukee Bucks (1) (1, 1–0)",Larry Costello,4–0,"Baltimore Bullets (1) (1, 0–1)",Gene Shue,Lew Alcindor,[34]
25,1972,"Los Angeles Lakers (1) (14, 6–8)",Bill Sharman,4–1,"New York Knicks (2) (5, 1–4)",Red Holzman,Wilt Chamberlain,[35]
26,1973,"Los Angeles Lakers (2) (15, 6–9)",1–4,"New York Knicks (2) (6, 2–4)",Willis Reed,[36],,
27,1974,"Milwaukee Bucks (1) (2, 1–1)",Larry Costello,3–4,"Boston Celtics (1) (13, 12–1)",Tom Heinsohn,John Havlicek,[37]
28,1975,"Golden State Warriors (1) (6, 3–3)",Al Attles,4–0,"Washington Bullets (2) (2, 0–2)",K.C. Jones,Rick Barry,[38]
29,1976,"Phoenix Suns (3) (1, 0–1)",John MacLeod,2–4,"Boston Celtics (1) (14, 13–1)",Tom Heinsohn,Jo Jo White,[39]
30,1977[d],"Portland Trail Blazers (3) (1, 1–0)",Jack Ramsay,4–2,"Philadelphia 76ers (1) (5, 2–3)",Gene Shue,Bill Walton,[42]
31,1978,"Seattle SuperSonics (4) (1, 0–1)",Lenny Wilkens,3–4,"Washington Bullets (3) (3, 1–2)",Dick Motta,Wes Unseld,[43]
